file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,60,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,46
style.css,61,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,21
style.css,62,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,0
style.css,63,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,0
style.css,64,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,13
style.css,65,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,13
style.css,66,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,30
style.css,67,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,19
style.css,68,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,8
style.css,69,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,0
style.css,70,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,0
style.css,71,css,96983bea,selinaz154,2025-01-13,22:07:22,-08:00,2025-01-13T22:07:22-08:00,0,11
style.css,72,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,4
style.css,73,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,13
style.css,74,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,31
style.css,75,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,8
style.css,76,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,11
style.css,77,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,13
style.css,78,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,0
style.css,79,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,0
style.css,80,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,0
style.css,81,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,0
style.css,82,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,31
style.css,83,css,35403afc,selinaz154,2025-01-14,21:10:24,-08:00,2025-01-14T21:10:24-08:00,0,13
style.css,84,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,14
style.css,85,css,ed03e673,selinaz154,2025-01-14,22:12:34,-08:00,2025-01-14T22:12:34-08:00,0,0
style.css,86,css,ed03e673,selinaz154,2025-01-14,22:12:34,-08:00,2025-01-14T22:12:34-08:00,0,0
style.css,87,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,6
style.css,88,css,35403afc,selinaz154,2025-01-14,21:10:24,-08:00,2025-01-14T21:10:24-08:00,0,13
style.css,89,css,35403afc,selinaz154,2025-01-14,21:10:24,-08:00,2025-01-14T21:10:24-08:00,0,30
style.css,90,css,35403afc,selinaz154,2025-01-14,21:10:24,-08:00,2025-01-14T21:10:24-08:00,0,19
style.css,91,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,0
style.css,92,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,0
style.css,93,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,0
style.css,94,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,9
style.css,95,css,c0817aa6,selinaz154,2025-01-17,13:51:09,-08:00,2025-01-17T13:51:09-08:00,0,19
style.css,96,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,3
style.css,97,css,5e0e33dc,selinaz154,2025-01-13,21:14:09,-08:00,2025-01-13T21:14:09-08:00,0,0
style.css,98,css,96983bea,selinaz154,2025-01-13,22:07:22,-08:00,2025-01-13T22:07:22-08:00,0,11
style.css,99,css,fa89dca5,selinaz154,2025-01-13,22:01:49,-08:00,2025-01-13T22:01:49-08:00,0,0
style.css,100,css,fa89dca5,selinaz154,2025-01-13,22:01:49,-08:00,2025-01-13T22:01:49-08:00,0,10
style.css,101,css,fa89dca5,selinaz154,2025-01-13,22:01:49,-08:00,2025-01-13T22:01:49-08:00,0,13
